Grade,Term 1,Term 2,
8,2.571,2.571,2.571
8,0.571,1.143,0.857
7,4,4,4
6,2.857,2.286,2.5715
6,1.714,2.571,2.1425
8,1.714,2.143,1.9285
8,0.571,0.429,0.5
8,2.143,1.5,1.8215
7,0.857,0.571,0.714
8,3,2.571,2.7855
7,2.833,2.714,2.7735
7,0.833,1.714,1.2735
8,1.714,1.286,1.5
6,3.857,3.857,3.857
6,4,4,4
6,3.714,3.857,3.7855
6,2.571,2,2.2855
6,3,3.143,3.0715
6,2.143,1.429,1.786
7,1.857,1.286,1.5715
8,0.857,0.857,0.857
7,1.333,1.143,1.238
7,3.857,3.714,3.7855
8,0.571,1,0.7855
8,1,0.714,0.857
6,3.286,3.429,3.3575
6,3.286,3.714,3.5
7,3.571,3.714,3.6425
7,3,2.571,2.7855
6,3.857,3.714,3.7855
8,0.429,0.857,0.643
7,4,4,4
7,1.571,1.286,1.4285
8,0.571,0.571,0.571
7,2.143,1.857,2
7,3.571,3.429,3.5
6,1.143,1.833,1.488
6,2.714,2.571,2.6425
6,0.857,1.714,1.2855
8,0.429,0.714,0.5715
8,0.333,0,0.1665
8,3.571,2.571,3.071
7,3.714,3.571,3.6425
6,2.286,1.714,2
7,3.143,3.571,3.357
7,4,4,4
6,0.714,1.143,0.9285
6,1.5,2.286,1.893
7,1.571,2,1.7855
8,1.286,1.571,1.4285
8,3.714,3.857,3.7855
7,3.571,3.429,3.5
8,0.286,1,0.643
6,3.286,3,3.143
6,3.143,3.429,3.286
6,2.143,2.571,2.357
6,0,0.167,0.0835
6,3.714,3.714,3.714
6,2.286,1.857,2.0715
7,,0,0
6,2.857,3,2.9285
6,0.714,0.857,0.7855
6,1.714,1.143,1.4285
6,2.571,2.714,2.6425
7,1,1.286,1.143
8,3.5,3.429,3.4645
7,1,1.143,1.0715
8,2.857,1.714,2.2855
7,1.571,1.286,1.4285
7,0.333,0.571,0.452
7,0.143,0.429,0.286
8,0.571,0.571,0.571
8,4,4,4
6,1.286,1.571,1.4285
8,0.571,1.571,1.071
6,3,2.714,2.857
7,3,3.286,3.143
7,0.333,1.714,1.0235
8,3.857,4,3.9285
6,3.857,4,3.9285
7,0.857,0.714,0.7855
6,0.714,0.571,0.6425
6,1,0.571,0.7855
8,1.714,2,1.857
7,3,3.429,3.2145
6,4,3.714,3.857
6,3.286,3.571,3.4285
7,1.286,1.429,1.3575
6,3.429,3.714,3.5715
6,3.571,3.286,3.4285
8,2.429,1.714,2.0715
7,3.857,4,3.9285
8,3,1.429,2.2145
7,2.857,2.429,2.643
6,2.857,2.714,2.7855
6,1.286,2,1.643
7,4,4,4
7,0.833,1.571,1.202
7,0.833,1,0.9165
6,1.714,1.286,1.5
7,1,0.571,0.7855
7,0.429,0.429,0.429
8,2.167,3.143,2.655
8,1.143,1,1.0715
6,0.571,0.429,0.5
8,1.714,2.143,1.9285
8,2.857,2.143,2.5
8,3.286,3.286,3.286
8,1.571,1.857,1.714
7,3.857,3.571,3.714
7,3.429,3.143,3.286
8,3.714,4,3.857
8,3.667,4,3.8335
8,1.286,1.286,1.286
7,1.857,1.286,1.5715
8,2.857,2.857,2.857
6,2.857,3.429,3.143
6,2.429,2.571,2.5
6,2.857,3.286,3.0715
6,3.429,4,3.7145
8,2.714,2.714,2.714
7,2.286,1.5,1.893
8,2,2.286,2.143
6,4,4,4
8,1.286,0.714,1
7,4,4,4
7,2.286,2.143,2.2145
6,3.143,3.143,3.143
7,0.333,0.714,0.5235
6,1,1,1
6,3.571,3.286,3.4285
7,4,4,4
6,3,2.857,2.9285
6,3,2.857,2.9285
6,2,2.571,2.2855
8,3,2.857,2.9285
6,1.714,1.714,1.714
7,1.833,2.571,2.202
6,3,2.857,2.9285
8,3.833,4,3.9165
7,3.571,3.571,3.571
8,1.286,0.714,1
7,1,1.857,1.4285
6,3.857,3.714,3.7855
8,0.286,0.5,0.393
8,2.143,2.571,2.357
6,2.857,3,2.9285
8,1.286,1.143,1.2145
6,1.857,2.429,2.143
6,1.714,1.857,1.7855
6,2.714,2,2.357
7,2.286,2.286,2.286
7,3.286,3.571,3.4285
6,1.857,2,1.9285
7,3.333,3.571,3.452
7,2.286,2.571,2.4285
6,3.714,3.286,3.5
8,3.286,2.429,2.8575
7,3.286,2.714,3
6,1.429,2.143,1.786
6,1.857,1.714,1.7855
8,2.571,2.714,2.6425
7,0.667,0.667,0.667
6,3.857,3.857,3.857
7,2.333,3,2.6665
7,1.286,1.286,1.286
8,2,2,2
7,3.714,3.143,3.4285
6,1.571,1.429,1.5
6,1.714,2.429,2.0715
7,2.857,3.286,3.0715
7,2.857,2.286,2.5715
8,2.429,2.286,2.3575
7,4,4,4
8,,0.429,0.429
8,1.143,2.714,1.9285
6,2.429,1.857,2.143
7,0.286,0.667,0.4765
8,1.714,1.571,1.6425
6,2.286,2.714,2.5
7,2.714,2.857,2.7855
6,1,0.857,0.9285
8,1.286,1.571,1.4285
6,3.714,3.286,3.5
8,3,2.714,2.857
8,1.714,0.857,1.2855
